Call order,Test lane,Primary offer,Business,Category,City,State,Phone,Email,Rating,Reviews,Primary score,Website score,Review score,AI fit score,Confidence,Observable reason,Selection note,Website status,Website,Google Maps,Verify before call,Data freshness,Source(s),Contact name,Contact title,Employee estimate,Revenue estimate,Status,Notes
1,Website,Website,Mallard Appliance,appliance repair,Surprise,AZ,'+19286255273,,4.9,159,94,94,50,12,Medium,No owned website found or linked; 159 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Mallard%20Appliance&query_place_id=ChIJrSOwwEkzW0QRbWTQpz5kkVw,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
2,Website,Website,Paradise Landscape & Irrigation,irrigation repair,Chandler,AZ,'+16022951929,,4.8,143,94,94,46,22,Medium,No owned website found or linked; 143 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Paradise%20Landscape%20%26%20Irrigation&query_place_id=ChIJ_ZNT-hyqK4cRl_BLAh2DbL8,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
3,Website,Website,Affordable Plumber AZ LLC,plumber,Mesa,AZ,'+14807026165,,4.8,91,90,90,74,22,Medium,No owned website found or linked; 91 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Affordable%20Plumber%20AZ%20LLC&query_place_id=ChIJAWPAAa-nK4cRAoh-FA-wuIQ,Current search on 2026-07-20 surfaced active business profiles but no owned website. Confirm once more immediately before the call.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
4,Website,Website,Ibanez Appliance Solutions LLC,appliance repair,Surprise,AZ,'+16024631004,,5,88,90,90,59,12,Medium,No owned website found or linked; 88 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Ibanez%20Appliance%20Solutions%20LLC&query_place_id=ChIJv3gmz-tFK4cRYmM7ThoVfSE,Current search on 2026-07-20 surfaced Nextdoor/directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
5,Website,Website,Hernandez Irrigation Repairs,irrigation repair,Chandler,AZ,'+14805723141,,4.9,70,90,90,56,22,Medium,No owned website found or linked; 70 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Hernandez%20Irrigation%20Repairs&query_place_id=ChIJD61KuFZLKocRcKjIFE-i1pQ,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
6,Website,Website,Pristine Pool Service and Repair LLC,pool service,Phoenix,AZ,'+16023006765,,5,47,85,85,59,22,Medium,No owned website found or linked; 47 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Pristine%20Pool%20Service%20and%20Repair%20LLC&query_place_id=ChIJIypV4dOWSyoRE1gGByybVUg,Current search on 2026-07-20 surfaced active licensing and directory profiles but no owned website. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
7,Website,Website,"Joe's Irrigation Repair & Installation, LLC",irrigation repair,Glendale,AZ,'+16025009706,,4.4,40,85,85,82,22,Medium,No owned website found or linked; 40 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Joe's%20Irrigation%20Repair%20%26%20Installation%2C%20LLC&query_place_id=ChIJIfiw3gxrK4cRGbsSPG9gqtw,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
8,Website,Website,Zacks Irrigation Repair LLC,irrigation repair,Phoenix,AZ,'+16028147771,,4.8,37,85,85,74,22,Medium,No owned website found or linked; 37 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Zacks%20Irrigation%20Repair%20LLC&query_place_id=ChIJC6apvoMTK4cRg9NYhgsCZKM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
9,Website,Website,Jay's Lawns LLC,landscaper,Scottsdale,AZ,'+14802263912,,5,28,85,85,49,22,Medium,No owned website found or linked; 28 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Jay's%20Lawns%20LLC&query_place_id=ChIJJY0AYOULK4cRCwFu0iVv4w4,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
10,Website,Website,Sidewinder Garage Door Service LLC,garage door repair,Peoria,AZ,'+16023990787,,5,26,85,85,67,22,Medium,No owned website found or linked; 26 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Sidewinder%20Garage%20Door%20Service%20LLC&query_place_id=ChIJ5yY2m62ef4IRZFEMsIaNqEM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026,,,,,,
